uniprot	af_plddt_mean	af_frac_lt50	af_frac_lt70	af_frac_gt90	af_longest_lt50_run	af_coverage
Q8WZ42	80.0166190531642	0.12518195050946143	0.16328966521106258	0.31158660844250363	567	1.0
Q8WXI7	40.81974817739876	0.8631695043771972	0.8747501206314193	0.042048666161163574	7920	1.0
Q8NF91	81.07695304405722	0.06081618733659202	0.1268614300329658	0.21530067068318745	116	1.0
P20929	56.8859510012568	0.2537243401759531	0.9190615835777126	0.0011730205278592375	125	1.0
Q5VST9	74.87982097437369	0.16917670682730923	0.24636044176706828	0.19026104417670683	477	1.0
Q03001	72.32797252626283	0.24332892998678995	0.29841479524438574	0.2536327608982827	929	1.0
Q9UPN3	75.04374629708407	0.1821873308067136	0.2391716296697347	0.2517596101786681	590	1.0
Q8WXH0	76.46988257426428	0.1318809005083515	0.22469135802469137	0.1721132897603486	186	1.0
Q8WXG9	81.90629750335692	0.04381073761350964	0.11247411183686475	0.2185757527481281	84	1.0
Q09666	37.445965259924	0.9254668930390493	0.9879456706281834	0.003565365025466893	1527	1.0
Q8IVF2	35.581635782078145	0.964969801553063	0.9905090595340811	0.0	1889	1.0
Q9HC84	58.34427370369448	0.5251873801638487	0.5621404915461042	0.1892975422694788	709	1.0
P98088	60.52728549002683	0.4696996623422783	0.5240803269948463	0.20188377465789942	992	1.0
Q96RW7	79.68290750589513	0.019771998574991095	0.12219451371571072	0.05895974349839687	61	1.0
Q9NU22	74.66431576551278	0.14474624731951394	0.27555396711937097	0.16619013581129377	235	1.0
O14686	50.57817406709839	0.6877370417193426	0.7545602311721149	0.12028174101499006	753	1.0
Q9UKN1	36.99835275758051	0.9392164042475284	0.9503844745514464	0.024899304284145003	4938	1.0
Q99102	60.94748763532159	0.23328380386329867	0.700594353640416	0.08320950965824665	1017	1.0
Q9Y6R7	87.24502995434517	0.011891490152359718	0.05741360089186176	0.4953548866592345	15	1.0
Q02817	60.09421211217453	0.5420383374454356	0.615866388308977	0.17517555513380148	1020	1.0
P0DPF2	35.80119615535863	0.9998079508354139	1.0	0.0	4208	1.0
Q63HN8	79.15288258479885	0.10005761474937584	0.18763203380065296	0.27827923948530825	222	1.0
Q5T4S7	77.42726947070551	0.15107080841211654	0.2284391279181941	0.312560293266448	139	1.0
Q9Y6V0	46.77606270489526	0.7860754570206145	0.8463632827693505	0.08323609490470633	286	1.0
Q4G0P3	76.8747263183344	0.1450888498340168	0.21499707088459286	0.2288615504784222	105	1.0
P58107	80.33956986560347	0.0646619496855346	0.1523191823899371	0.21246069182389937	45	1.0
Q8NDA2	78.88117261904762	0.026700949367088608	0.1319224683544304	0.04885284810126582	50	1.0
P21817	80.56469848673889	0.11750694720127035	0.18936085748312823	0.4192139737991266	175	1.0
Q2LD37	62.38970581799153	0.4151848151848152	0.5218781218781219	0.20799200799200798	308	1.0
Q6V0I7	79.25187168964288	0.09832085777867691	0.14080517904106818	0.14040056645761684	265	1.0
Q92736	80.53685450161541	0.10791222065633178	0.18421582444131265	0.3770887859875176	79	1.0
Q15751	73.42605479472184	0.22731948158815057	0.3100185147089076	0.3217444970170747	178	1.0
Q9NR09	66.45726030667569	0.33415688696726376	0.42763022441836523	0.20197652872143299	141	1.0
O95714	76.98285554209271	0.15908150599917253	0.24720728175424078	0.33409184940008274	108	1.0
Q96M86	74.01278373558553	0.14285714285714285	0.26677887649905324	0.11950347149168945	117	1.0
Q9P2P6	46.00665597264438	0.7510638297872341	0.798936170212766	0.07914893617021276	685	1.0
Q15149	78.87501967183115	0.06789069171648164	0.19769427839453457	0.29141759180187876	76	1.0
P98164	78.21774771161165	0.05334773218142549	0.19935205183585314	0.2185745140388769	201	1.0
Q14204	82.65655604080168	0.02820236813778256	0.10182992465016147	0.2902045209903122	28	1.0
Q8TE73	83.87006711361015	0.03157439446366782	0.08044982698961937	0.30190311418685123	55	1.0
Q9NZR2	77.63706466893375	0.055689015068792314	0.23323869840576544	0.20375627866346363	137	1.0
Q14517	78.595654649817	0.0987519159185461	0.16641121086052113	0.14845631705714912	313	1.0
Q9NZJ4	82.33076199835689	0.041056999344835116	0.11858484385236952	0.2356409696440271	49	1.0
